customer_id,password,email
1,19179038=qT,rpoad0@nbcnews.com
2,72508320n.Epy),dyearron1@theguardian.com
3,01889057){hm@m3,jortler2@prlog.org
4,49111900HEX|,depps3@examiner.com
5,"56631905fL,Zg",ttoupe4@reference.com
6,28327014D,psekulla5@alexa.com
7,87494370<{<,rnoore6@discovery.com
8,03733362eZ`q~5,hmacbarron7@technorati.com
9,78446337XX!UY,dhardington8@trellian.com
10,"01213452J(c""?lJ_",cbredgeland9@mapquest.com
11,52074539P!+bgD?s,esheehana@privacy.gov.au
12,62131022C{MA,csilcoxb@gravatar.com
13,36214512waxF,tlaurantc@imageshack.us
14,46908265SqW?,smcmanamend@gravatar.com
15,00102551~SS{#793,tdudderidgee@plala.or.jp
16,35142670tp@~7h,chonackf@loc.gov
17,72106199_C7=L=G*,ghasslocherg@sfgate.com
18,15694457%9zX,akitchenhamh@github.com
19,92115141,sreilingi@stumbleupon.com
20,499556588uoz,dgreaderj@facebook.com
21,38574769)i,cgautreyk@is.gd
22,99252042',vsheltonl@elegantthemes.com
23,81233636sG`7T,rdunphiem@vinaora.com
24,980252394Coez2,cadamthwaiten@usatoday.com
25,51765004kjBO*|G6,oliello@goo.ne.jp
26,26235902E0#|,ghazemanp@sakura.ne.jp
27,87655110W@V,martindaleq@auda.org.au
28,91207569~h_!c,ftwitchettr@drupal.org
29,39975059l,plunas@diigo.com
30,28526398n,abrammart@java.com
31,"89067458""",gplaidu@t.co
32,05394902UUzn2,tmoohanv@dailymail.co.uk
33,"95530191.nyj,",sgiacovelliw@google.ca
34,73223178oFj*@NE,kmathwenx@hhs.gov
35,89783201#37>C60,yyvony@networkadvertising.org
36,10497274!p6OAyz,mtrulockz@yolasite.com
37,65729037,slias10@miitbeian.gov.cn
38,15405576|k)#KlM$,gstorrie11@noaa.gov
39,09321322~,sscurr12@vistaprint.com
40,968547651l(R64u,bleverette13@china.com.cn
41,45388193`X2{Kmb,ftrappe14@alibaba.com
42,96253038>N.,hdrackford15@google.it
43,696845297@i4,djoret16@joomla.org
44,12755786,cdalley17@house.gov
45,38804569Z,mwonfor18@sourceforge.net
46,35387327~~/,bsalters19@paypal.com
47,86119942,obackman1a@mapquest.com
48,27027731PT,wwelband1b@bbc.co.uk
49,53250501LZ,bgabbot1c@whitehouse.gov
50,172624152gb/3_q,hbarnard1d@wsj.com
51,"07986116mpEI""1(%",mfideler1e@ocn.ne.jp
52,21578179,asadry1f@umich.edu
53,66128762,rmeadley1g@independent.co.uk
54,49435090,rtopping1h@about.me
55,67490989),koregan1i@pen.io
56,97822304Bz+,tskelding1j@google.it
57,"13400185""_",ogavrieli1k@miibeian.gov.cn
58,98373906gpAe3ymA,ldonoher1l@addtoany.com
59,03285198.A,fburgise1m@prweb.com
60,"013753984Ly,R{",mwhylie1n@craigslist.org
61,584096973OgU#sF,edeakin1o@comsenz.com
62,60611066eLHDl,asweynson1p@e-recht24.de
63,24517673k8*Zn,mmagwood1q@tamu.edu
64,70357207Z9Azj,bcawthorne1r@cyberchimps.com
65,"08315381QqD""x&wr",dwiskar1s@scribd.com
66,36764476R(ZN/0,aburhouse1t@hc360.com
67,94422094qH,ksirett1u@indiegogo.com
68,05969494<U0Ovk.,tlecornu1v@google.com
69,08087210sI),pmctrusty1w@canalblog.com
70,14262910,cbrimham1x@typepad.com
71,45268829dsb,icamplejohn1y@tuttocitta.it
72,65048830>IENEfjB,tdelea1z@sun.com
73,"042300233.""*`k",apuxley20@yale.edu
74,74951113tk'j,sladen21@theglobeandmail.com
75,61296847|r,wducarme22@epa.gov
76,"32506534FvnTZ%V""",grigge23@gnu.org
77,93554708~Xa,ajanning24@blogtalkradio.com
78,48783650Aiy,rhelliar25@buzzfeed.com
79,05067729cWwI,baven26@free.fr
80,52389595%,wscreen27@cornell.edu
81,64032646Uy!x*,mcorner28@cornell.edu
82,71263708P&,cmatoshin29@posterous.com
83,30012533XGZoH3zr,cletixier2a@shinystat.com
84,727711730?,echeshir2b@utexas.edu
85,61286040V,rforton2c@walmart.com
86,25756183g<=>d\,bmccart2d@skyrock.com
87,73178455(!@Z?kHK,hbroxap2e@ted.com
88,"75954886""",mfiney2f@boston.com
89,68288612}I,ttrosdall2g@cam.ac.uk
90,77150827d24nCVCT,trosengarten2h@wikia.com
91,41008265*TGSjR*S,dbresman2i@accuweather.com
92,13556954P*p,ssapena2j@techcrunch.com
93,"15962587,A')",bmangam2k@google.com
94,35418368e!57,gkinrade2l@squidoo.com
95,27256192q}Kz%w,rboulden2m@bloglovin.com
96,91010054O&psxQ,hdownton2n@ed.gov
97,07919520C.O,uspoure2o@squarespace.com
98,997795474=9U,vgouldstraw2p@weibo.com
99,610563315,tdach2q@census.gov
100,88512756pEdz&,gbernucci2r@wix.com
101,65223327,avynarde2s@fema.gov
102,60914004!PIES0$q,xclaye2t@psu.edu
103,73454347gGO~NzWL,winsull2u@state.gov
104,18331254oM),dcrose2v@china.com.cn
105,88439571*,lmccanny2w@toplist.cz
106,34959199AnVn,beakly2x@biglobe.ne.jp
107,56837399}=PO|*,nlovel2y@macromedia.com
108,815774599%/,ltallis2z@cdc.gov
109,44561488'waG,dmcgiveen30@flavors.me
110,533168308GxAi0g,bmcclarence31@yolasite.com
111,68065485,gchisholme32@digg.com
112,99688948,scalkin33@wsj.com
113,423173897MT&2,dreal34@indiatimes.com
114,99520911jJ1A3,kboddis35@naver.com
115,02323031|CIE9,cchalfain36@jigsy.com
116,08002011m{BevR,jbuckham37@delicious.com
117,28564727Cz<}sS*N,cstewartson38@seattletimes.com
118,568447535g1H~G,acasserley39@g.co
119,29698638,btansey3a@yahoo.com
120,80513761+uC,eedmand3b@icq.com
121,36012773,ckleiser3c@wikispaces.com
122,97905216jxP5I,bleamy3d@imageshack.us
123,76128440#%W>vnb,amaginn3e@jigsy.com
124,39712860V#cW,fpfeiffer3f@reference.com
125,32704029C7jBD,efahrenbacher3g@wix.com
126,88623719#.,slegon3h@squidoo.com
127,34117580PeGkBlSz,fflancinbaum3i@cdc.gov
128,47624214qAe#kv,dseely3j@free.fr
129,07618134))hYEI,toscannill3k@ezinearticles.com
130,69356956,vforri3l@biblegateway.com
131,40265409JKZnA{9F,icraig3m@bloglines.com
132,65393607nXm(B4,dduigenan3n@naver.com
133,"98155833)6h"")L",sshanklin3o@cbc.ca
134,75310279m'g,lsuart3p@bandcamp.com
135,"14624677i#,q)",dmaddox3q@amazonaws.com
136,02340113l,kbarday3r@dell.com
137,15869487@)nZ,qbeauman3s@usa.gov
138,84828315_99K,rhastler3t@ameblo.jp
139,45115329f'lFr~&.,lbernardotti3u@aboutads.info
140,64098797`XD,cdebiasio3v@cdc.gov
141,79712445(6w*W,rannice3w@cdbaby.com
142,43261948.YuB@R,nmiddlemiss3x@cloudflare.com
143,32440932WfS\t,jsunter3y@tinyurl.com
144,69641236Kz|%y3g,ptibbotts3z@desdev.cn
145,58438779\,drives40@plala.or.jp
146,03203937ss~,gmckernan41@delicious.com
147,46931618/stafHU{,karonowitz42@sphinn.com
148,44562067@x,jdiben43@fema.gov
149,207463136#r86${q,amcart44@businesswire.com
150,75262054tinL,zbromet45@about.com
151,55369569,hguswell46@businessinsider.com
152,41816670\%Wi},shughs47@homestead.com
153,98185649CN`p!xb,vkhomich48@princeton.edu
154,58514864H,fgiampietro49@tmall.com
155,73120590ez,msmart4a@google.ca
156,36821462K@t,kmavin4b@github.io
157,67876908o1h7{,lmuslim4c@ed.gov
158,42306774mNJTl\e,dtrainor4d@amazon.co.jp
159,67910169KP1bq8,cderisly4e@webeden.co.uk
160,"92359050aO+,",jsigward4f@answers.com
161,56130976qJX,akopke4g@tiny.cc
162,05899709,rspadaro4h@mail.ru
163,67616823R$1%,hpibsworth4i@a8.net
164,82107182b,mchew4j@google.nl
165,00867019}1//,halanbrooke4k@alexa.com
166,27915574i0,mlocock4l@cnn.com
167,37742745YGF\tFF},tantonacci4m@upenn.edu
168,00463486N_#,pclacey4n@imdb.com
169,26968412=9,wvarnham4o@guardian.co.uk
170,418846149KWSDJ3,awernham4p@w3.org
171,75536577WE&hS3CE,tshakelady4q@salon.com
172,84753774a{z@$.U,dfleet4r@arizona.edu
173,61714703Xxk9*@g,cnormanvell4s@drupal.org
174,78426364fjM8>1,rpennington4t@nhs.uk
175,42574367O~!Bsz),cburkert4u@purevolume.com
176,18295312j/#Ni,amcquorkel4v@yellowbook.com
177,"27725930k|%g,",drawood4w@spotify.com
178,45219722u\,chabard4x@desdev.cn
179,07299410,jcolaton4y@ibm.com
180,05256613,gcove4z@fema.gov
181,43135489B{}Pll+,gwatling50@mozilla.com
182,10093677X,cwadsworth51@unblog.fr
183,18761053W{s,xmalter52@apple.com
184,20079119&,lrudgerd53@irs.gov
185,"60876769v!d)>/,+",cmegainey54@ocn.ne.jp
186,77263142=d8!/,cbrimham55@networkadvertising.org
187,73538888/CoH,bbroune56@who.int
188,16600804{\Kf,fsmith57@cpanel.net
189,86349903rfGNw*,wderrell58@theglobeandmail.com
190,87782854D_!K,rpuddan59@diigo.com
191,09192967*,ubairstow5a@about.com
192,78515285g}@'6,lohanvey5b@gravatar.com
193,96328614xc\}+',respinas5c@hud.gov
194,453270824,cchezelle5d@ebay.com
195,19828504iqQouQc,slethley5e@nba.com
196,08360020a@,gmcgahern5f@globo.com
197,73628704E.,hfiander5g@ted.com
198,58815285|,dboobier5h@businessweek.com
199,417511545>$8Bnr5,dfergyson5i@hud.gov
200,3723149970,gtabour5j@rakuten.co.jp
